code_bcm,name,status
5410151,Soaserana = Belinta,introuvable
1312190,Soavimbazaha,introuvable
1106352,Soavinandriana,introuvable
1313011,Soavinandriana,introuvable
2120130,Talata Ampano,introuvable
2223150,Talata Vohimena,introuvable
1102379,Talata Volonondry,introuvable
2108251,Tamboharivo Sahatona,introuvable
5106090,Tameantsoa,introuvable
1313230,Tamponala,introuvable
2311073,Tanakambana,introuvable
2119150,Tanamarina Bekisopa,introuvable
5106290,Tanambao Ambony,introuvable
3313232,Tanambao Besakay,introuvable
7211490,Tanambao Daoud,introuvable
5101001,Tanambao I,introuvable
5101002,Tanambao II,introuvable
7117070,Tanambao Marivorahona,introuvable
3109210,Tanambao Rabemanana,introuvable
3101004,Tanambao V,introuvable
2101002,Tanana Ambany,introuvable
2101001,Tanana Ambony,introuvable
5319050,Tanandava Atsimo,introuvable
5409051,Tanandava II Analamitsivalana,introuvable
1117150,Tanjombato Andafiatsimo,introuvable
3110010,Toamasina II,introuvable
1218350,Tsarahonenana Sahanivotry,introuvable
4210510,Tsarajomoka,introuvable
3205090,Tsaratampona (Ambatoharanana),introuvable
50909,TSARATAMPONA-I-AMBATOHARANANA,introuvable
4209033,Tsaratanana I,introuvable
1210170,Tsiafajavona Ankaratra,introuvable
5216210,Tsimananada,introuvable
5218092,Tsirandrany,introuvable
1411030,Tsiroanomandidy Fihaonana,introuvable
1411010,Tsiroanomandidy Renivohitra,introuvable
3107052,Vahatrakaka,introuvable
51111,VANONA,introuvable
2101007,Vatosola,introuvable
1218090,Vinaninkarena,introuvable
1216110,Vinaninony Atsimo,introuvable
1216050,Vinaninony Avaratra,introuvable
3106010,Vohibinany,introuvable
2312172,Vohilany,introuvable
2310370,Vohilava Ex-Sahasondry,introuvable
7216010,Vohimarina CU,introuvable
2310352,Vohimasina Nord,introuvable
2310351,Vohimasina Sud,introuvable
1312170,Zoma Bealoka,introuvable
